  0  0: 184.6095100,   0.0000000; -23.0249459,   0.0000000;  10.0981825,   0.0000000;  -6.5367296,   0.0000000;   5.0711136,   0.0000000;  -4.3292240,   0.0000000;   3.9025306,   0.0000000;  -3.6348230,   0.0000000;   3.4559133,   0.0000000;  -3.3304690,   0.0000000;   3.2391308,   0.0000000;  -3.1705700,   0.0000000;   3.1177990,   0.0000000;  -3.0763179,   0.0000000;   3.0431228,   0.0000000;  -3.0161463,   0.0000000;   2.9939278,   0.0000000;  -2.9754118,   0.0000000;   2.9598201,   0.0000000;  -2.9465686,   0.0000000;   2.9352123,   0.0000000;  -2.9254072,   0.0000000;   2.9168839,   0.0000000;  -2.9094291,   0.0000000;   2.9028723,   0.0000000;  -2.8970755,   0.0000000;   2.8919264,   0.0000000;  -2.8873327,   0.0000000;   2.8832180,   0.0000000;  -2.8795187,   0.0000000;   2.8761815,   0.0000000;  -2.8731611,   0.0000000;   2.8704195,   0.0000000;  -2.8679241,   0.0000000;   2.8656468,   0.0000000;  -2.8635636,   0.0000000;   2.8616539,   0.0000000;  -2.8598994,   0.0000000;   2.8582844,   0.0000000;  -2.8567953,   0.0000000;   2.8554199,   0.0000000;  -2.8541475,   0.0000000;   2.8529689,   0.0000000;  -2.8518756,   0.0000000;   2.8508604,   0.0000000;  -2.8499165,   0.0000000;   2.8490382,   0.0000000;  -2.8482202,   0.0000000;   2.8474578,   0.0000000;  -2.8467468,   0.0000000;   2.8460833,   0.0000000;  -2.8454640,   0.0000000;   2.8448857,   0.0000000;  -2.8443457,   0.0000000;   2.8438414,   0.0000000;  -2.8433705,   0.0000000;   2.8429310,   0.0000000;  -2.8425210,   0.0000000;   2.8421386,   0.0000000;  -2.8417825,   0.0000000;   2.8414511,   0.0000000;  -2.8411431,   0.0000000;   2.8408575,   0.0000000;  -2.8405931,   0.0000000;   2.8403489,   0.0000000;  -2.8401241,   0.0000000;   2.8399179,   0.0000000;  -2.8397296,   0.0000000;   2.8395585,   0.0000000;  -2.8394041,   0.0000000;   2.8392658,   0.0000000;  -2.8391432,   0.0000000;   2.8390359,   0.0000000;  -2.8389435,   0.0000000;   2.8388657,   0.0000000;  -2.8388024,   0.0000000;   2.8387532,   0.0000000;  -2.8387181,   0.0000000;   2.8386969,   0.0000000;  -2.8386896,   0.0000000
  1  0:   0.0000000,   0.0000000;   0.0000000,   0.0000000;  -0.0000000,   0.0000000;   0.0000000,   0.0000000;  -0.0000000,   0.0000000;   0.0000000,   0.0000000;  -0.0000000,   0.0000000;   0.0000000,   0.0000000;  -0.0000000,   0.0000000;   0.0000000,   0.0000000;  -0.0000000,   0.0000000;   0.0000000,   0.0000000;  -0.0000000,   0.0000000;   0.0000000,   0.0000000;  -0.0000000,   0.0000000;   0.0000000,   0.0000000;  -0.0000000,   0.0000000;   0.0000000,   0.0000000;  -0.0000000,   0.0000000;   0.0000000,   0.0000000;  -0.0000000,   0.0000000;   0.0000000,   0.0000000;  -0.0000000,   0.0000000;   0.0000000,   0.0000000;  -0.0000000,   0.0000000;   0.0000000,   0.0000000;  -0.0000000,   0.0000000;   0.0000000,   0.0000000;  -0.0000000,   0.0000000;   0.0000000,   0.0000000;  -0.0000000,   0.0000000;   0.0000000,   0.0000000;  -0.0000000,   0.0000000;   0.0000000,   0.0000000;  -0.0000000,   0.0000000;   0.0000000,   0.0000000;  -0.0000000,   0.0000000;   0.0000000,   0.0000000;  -0.0000000,   0.0000000;   0.0000000,   0.0000000;  -0.0000000,   0.0000000;   0.0000000,   0.0000000;  -0.0000000,   0.0000000;   0.0000000,   0.0000000;  -0.0000000,   0.0000000;   0.0000000,   0.0000000;  -0.0000000,   0.0000000;   0.0000000,   0.0000000;  -0.0000000,   0.0000000;   0.0000000,   0.0000000;  -0.0000000,   0.0000000;   0.0000000,   0.0000000;  -0.0000000,   0.0000000;   0.0000000,   0.0000000;  -0.0000000,   0.0000000;   0.0000000,   0.0000000;  -0.0000000,   0.0000000;   0.0000000,   0.0000000;  -0.0000000,   0.0000000;   0.0000000,   0.0000000;  -0.0000000,   0.0000000;   0.0000000,   0.0000000;  -0.0000000,   0.0000000;   0.0000000,   0.0000000;  -0.0000000,   0.0000000;   0.0000000,   0.0000000;  -0.0000000,   0.0000000;   0.0000000,   0.0000000;  -0.0000000,   0.0000000;   0.0000000,   0.0000000;  -0.0000000,   0.0000000;   0.0000000,   0.0000000;  -0.0000000,   0.0000000;   0.0000000,   0.0000000;  -0.0000000,   0.0000000;   0.0000000,   0.0000000;  -0.0000000,   0.0000000;   0.0000000,   0.0000000;  -0.0000000,   0.0000000;  -0.0000000,   0.0000000
  2  0:  -5.8767473,   0.0000000; -50.5013706,   0.0000000;  -0.6096976,   0.0000000;  -9.8244448,   0.0000000;   0.3356542,   0.0000000;  -4.4398780,   0.0000000;   0.5674693,   0.0000000;  -2.7495750,   0.0000000;   0.6573528,   0.0000000;  -2.0092428,   0.0000000;   0.7012451,   0.0000000;  -1.6204018,   0.0000000;   0.7258891,   0.0000000;  -1.3912154,   0.0000000;   0.7410863,   0.0000000;  -1.2448873,   0.0000000;   0.7511118,   0.0000000;  -1.1458037,   0.0000000;   0.7580707,   0.0000000;  -1.0756162,   0.0000000;   0.7630968,   0.0000000;  -1.0240905,   0.0000000;   0.7668449,   0.0000000;  -0.9851526,   0.0000000;   0.7697140,   0.0000000;  -0.9550128,   0.0000000;   0.7719591,   0.0000000;  -0.9312072,   0.0000000;   0.7737489,   0.0000000;  -0.9120776,   0.0000000;   0.7751987,   0.0000000;  -0.8964752,   0.0000000;   0.7763896,   0.0000000;  -0.8835834,   0.0000000;   0.7773799,   0.0000000;  -0.8728089,   0.0000000;   0.7782124,   0.0000000;  -0.8637124,   0.0000000;   0.7789190,   0.0000000;  -0.8559628,   0.0000000;   0.7795241,   0.0000000;  -0.8493071,   0.0000000;   0.7800465,   0.0000000;  -0.8435487,   0.0000000;   0.7805007,   0.0000000;  -0.8385336,   0.0000000;   0.7808983,   0.0000000;  -0.8341394,   0.0000000;   0.7812487,   0.0000000;  -0.8302680,   0.0000000;   0.7815593,   0.0000000;  -0.8268398,   0.0000000;   0.7818362,   0.0000000;  -0.8237900,   0.0000000;   0.7820844,   0.0000000;  -0.8210653,   0.0000000;   0.7823081,   0.0000000;  -0.8186214,   0.0000000;   0.7825108,   0.0000000;  -0.8164215,   0.0000000;   0.7826956,   0.0000000;  -0.8144345,   0.0000000;   0.7828649,   0.0000000;  -0.8126344,   0.0000000;   0.7830208,   0.0000000;  -0.8109991,   0.0000000;   0.7831654,   0.0000000;  -0.8095095,   0.0000000;   0.7833003,   0.0000000;  -0.8081496,   0.0000000;   0.7834270,   0.0000000;  -0.8069055,   0.0000000;   0.7835468,   0.0000000;  -0.8057652,   0.0000000;   0.7836609,   0.0000000;  -0.8047185,   0.0000000;   0.7837706,   0.0000000;  -0.8037563,   0.0000000;   0.7838769,   0.0000000;  -0.8028711,   0.0000000
  3  0:   0.0000000,   0.0000000;   0.0000001,   0.0000000;   0.0000000,   0.0000000;  -0.0000000,   0.0000000;   0.0000000,   0.0000000;  -0.0000000,   0.0000000;   0.0000000,   0.0000000;  -0.0000000,   0.0000000;   0.0000000,   0.0000000;  -0.0000000,   0.0000000;   0.0000000,   0.0000000;  -0.0000000,   0.0000000;   0.0000000,   0.0000000;  -0.0000000,   0.0000000;   0.0000000,   0.0000000;  -0.0000000,   0.0000000;   0.0000000,   0.0000000;  -0.0000000,   0.0000000;   0.0000000,   0.0000000;  -0.0000000,   0.0000000;   0.0000000,   0.0000000;  -0.0000000,   0.0000000;   0.0000000,   0.0000000;  -0.0000000,   0.0000000;   0.0000000,   0.0000000;  -0.0000000,   0.0000000;   0.0000000,   0.0000000;  -0.0000000,   0.0000000;   0.0000000,   0.0000000;  -0.0000000,   0.0000000;   0.0000000,   0.0000000;  -0.0000000,   0.0000000;   0.0000000,   0.0000000;  -0.0000000,   0.0000000;   0.0000000,   0.0000000;  -0.0000000,   0.0000000;   0.0000000,   0.0000000;  -0.0000000,   0.0000000;   0.0000000,   0.0000000;  -0.0000000,   0.0000000;   0.0000000,   0.0000000;  -0.0000000,   0.0000000;   0.0000000,   0.0000000;  -0.0000000,   0.0000000;   0.0000000,   0.0000000;  -0.0000000,   0.0000000;   0.0000000,   0.0000000;  -0.0000000,   0.0000000;   0.0000000,   0.0000000;  -0.0000000,   0.0000000;   0.0000000,   0.0000000;  -0.0000000,   0.0000000;   0.0000000,   0.0000000;  -0.0000000,   0.0000000;   0.0000000,   0.0000000;  -0.0000000,   0.0000000;   0.0000000,   0.0000000;  -0.0000000,   0.0000000;   0.0000000,   0.0000000;  -0.0000000,   0.0000000;   0.0000000,   0.0000000;  -0.0000000,   0.0000000;   0.0000000,   0.0000000;  -0.0000000,   0.0000000;   0.0000000,   0.0000000;  -0.0000000,   0.0000000;   0.0000000,   0.0000000;  -0.0000000,   0.0000000;   0.0000000,   0.0000000;  -0.0000000,   0.0000000;   0.0000000,   0.0000000;  -0.0000000,   0.0000000;   0.0000000,   0.0000000;  -0.0000000,   0.0000000;   0.0000000,   0.0000000;  -0.0000000,   0.0000000;   0.0000000,   0.0000000;   0.0000000,   0.0000000;   0.0000000,   0.0000000;   0.0000000,   0.0000000
  4  0:  -0.0290537,   0.0000000;  -3.3529603,   0.0000000;  -7.4739481,   0.0000000;  -0.1398358,   0.0000000;  -2.4655630,   0.0000000;   0.0409827,   0.0000000;  -1.2570298,   0.0000000;   0.0854720,   0.0000000;  -0.7906852,   0.0000000;   0.1030940,   0.0000000;  -0.5634257,   0.0000000;   0.1118923,   0.0000000;  -0.4359626,   0.0000000;   0.1169294,   0.0000000;  -0.3574080,   0.0000000;   0.1200869,   0.0000000;  -0.3056055,   0.0000000;   0.1221982,   0.0000000;  -0.2696571,   0.0000000;   0.1236800,   0.0000000;  -0.2436968,   0.0000000;   0.1247598,   0.0000000;  -0.2243400,   0.0000000;   0.1255707,   0.0000000;  -0.2095227,   0.0000000;   0.1261947,   0.0000000;  -0.1979288,   0.0000000;   0.1266847,   0.0000000;  -0.1886863,   0.0000000;   0.1270761,   0.0000000;  -0.1811993,   0.0000000;   0.1273931,   0.0000000;  -0.1750496,   0.0000000;   0.1276531,   0.0000000;  -0.1699361,   0.0000000;   0.1278685,   0.0000000;  -0.1656380,   0.0000000;   0.1280486,   0.0000000;  -0.1619904,   0.0000000;   0.1282001,   0.0000000;  -0.1588679,   0.0000000;   0.1283285,   0.0000000;  -0.1561740,   0.0000000;   0.1284378,   0.0000000;  -0.1538332,   0.0000000;   0.1285312,   0.0000000;  -0.1517861,   0.0000000;   0.1286112,   0.0000000;  -0.1499852,   0.0000000;   0.1286798,   0.0000000;  -0.1483921,   0.0000000;   0.1287387,   0.0000000;  -0.1469756,   0.0000000;   0.1287892,   0.0000000;  -0.1457103,   0.0000000;   0.1288324,   0.0000000;  -0.1445750,   0.0000000;   0.1288692,   0.0000000;  -0.1435522,   0.0000000;   0.1289003,   0.0000000;  -0.1426270,   0.0000000;   0.1289264,   0.0000000;  -0.1417872,   0.0000000;   0.1289480,   0.0000000;  -0.1410221,   0.0000000;   0.1289654,   0.0000000;  -0.1403229,   0.0000000;   0.1289792,   0.0000000;  -0.1396818,   0.0000000;   0.1289895,   0.0000000;  -0.1390922,   0.0000000;   0.1289967,   0.0000000;  -0.1385484,   0.0000000;   0.1290009,   0.0000000;  -0.1380454,   0.0000000;   0.1290025,   0.0000000;  -0.1375790,   0.0000000;   0.1290014,   0.0000000;  -0.1371452,   0.0000000;   0.1289979,   0.0000000
  5  0:   0.0000000,   0.0000000;   0.0000000,   0.0000000;   0.0000001,   0.0000000;   0.0000000,   0.0000000;   0.0000000,   0.0000000;   0.0000000,   0.0000000;   0.0000000,   0.0000000;   0.0000000,   0.0000000;  -0.0000000,   0.0000000;   0.0000000,   0.0000000;  -0.0000000,   0.0000000;   0.0000000,   0.0000000;  -0.0000000,   0.0000000;   0.0000000,   0.0000000;  -0.0000000,   0.0000000;   0.0000000,   0.0000000;  -0.0000000,   0.0000000;   0.0000000,   0.0000000;  -0.0000000,   0.0000000;   0.0000000,   0.0000000;  -0.0000000,   0.0000000;   0.0000000,   0.0000000;  -0.0000000,   0.0000000;   0.0000000,   0.0000000;  -0.0000000,   0.0000000;   0.0000000,   0.0000000;  -0.0000000,   0.0000000;   0.0000000,   0.0000000;  -0.0000000,   0.0000000;   0.0000000,   0.0000000;  -0.0000000,   0.0000000;   0.0000000,   0.0000000;  -0.0000000,   0.0000000;   0.0000000,   0.0000000;  -0.0000000,   0.0000000;   0.0000000,   0.0000000;  -0.0000000,   0.0000000;   0.0000000,   0.0000000;  -0.0000000,   0.0000000;   0.0000000,   0.0000000;  -0.0000000,   0.0000000;   0.0000000,   0.0000000;  -0.0000000,   0.0000000;   0.0000000,   0.0000000;  -0.0000000,   0.0000000;   0.0000000,   0.0000000;  -0.0000000,   0.0000000;   0.0000000,   0.0000000;  -0.0000000,   0.0000000;   0.0000000,   0.0000000;  -0.0000000,   0.0000000;   0.0000000,   0.0000000;  -0.0000000,   0.0000000;   0.0000000,   0.0000000;  -0.0000000,   0.0000000;   0.0000000,   0.0000000;  -0.0000000,   0.0000000;   0.0000000,   0.0000000;  -0.0000000,   0.0000000;   0.0000000,   0.0000000;  -0.0000000,   0.0000000;   0.0000000,   0.0000000;  -0.0000000,   0.0000000;   0.0000000,   0.0000000;  -0.0000000,   0.0000000;   0.0000000,   0.0000000;  -0.0000000,   0.0000000;   0.0000000,   0.0000000;  -0.0000000,   0.0000000;   0.0000000,   0.0000000;  -0.0000000,   0.0000000;   0.0000000,   0.0000000;  -0.0000000,   0.0000000;   0.0000000,   0.0000000;   0.0000000,   0.0000000;   0.0000000,   0.0000000;   0.0000000,   0.0000000;   0.0000000,   0.0000000;   0.0000000,   0.0000000;  -0.0000000,   0.0000000
  6  0:  -0.0001513,   0.0000000;  -0.1885952,   0.0000000;  -1.9768058,   0.0000000;  -2.2056729,   0.0000000;  -0.1485110,   0.0000000;  -1.0506426,   0.0000000;   0.0030499,   0.0000000;  -0.6091994,   0.0000000;   0.0326894,   0.0000000;  -0.4037143,   0.0000000;   0.0413793,   0.0000000;  -0.2928016,   0.0000000;   0.0446101,   0.0000000;  -0.2264604,   0.0000000;   0.0460138,   0.0000000;  -0.1837265,   0.0000000;   0.0466939,   0.0000000;  -0.1546220,   0.0000000;   0.0470506,   0.0000000;  -0.1339225,   0.0000000;   0.0472488,   0.0000000;  -0.1186822,   0.0000000;   0.0473635,   0.0000000;  -0.1071395,   0.0000000;   0.0474316,   0.0000000;  -0.0981891,   0.0000000;   0.0474724,   0.0000000;  -0.0911093,   0.0000000;   0.0474964,   0.0000000;  -0.0854129,   0.0000000;   0.0475099,   0.0000000;  -0.0807616,   0.0000000;   0.0475163,   0.0000000;  -0.0769141,   0.0000000;   0.0475181,   0.0000000;  -0.0736950,   0.0000000;   0.0475164,   0.0000000;  -0.0709743,   0.0000000;   0.0475124,   0.0000000;  -0.0686537,   0.0000000;   0.0475064,   0.0000000;  -0.0666581,   0.0000000;   0.0474990,   0.0000000;  -0.0649292,   0.0000000;   0.0474904,   0.0000000;  -0.0634211,   0.0000000;   0.0474808,   0.0000000;  -0.0620973,   0.0000000;   0.0474703,   0.0000000;  -0.0609287,   0.0000000;   0.0474589,   0.0000000;  -0.0598915,   0.0000000;   0.0474467,   0.0000000;  -0.0589663,   0.0000000;   0.0474338,   0.0000000;  -0.0581372,   0.0000000;   0.0474201,   0.0000000;  -0.0573910,   0.0000000;   0.0474056,   0.0000000;  -0.0567166,   0.0000000;   0.0473903,   0.0000000;  -0.0561047,   0.0000000;   0.0473743,   0.0000000;  -0.0555475,   0.0000000;   0.0473574,   0.0000000;  -0.0550381,   0.0000000;   0.0473396,   0.0000000;  -0.0545710,   0.0000000;   0.0473209,   0.0000000;  -0.0541411,   0.0000000;   0.0473013,   0.0000000;  -0.0537442,   0.0000000;   0.0472807,   0.0000000;  -0.0533767,   0.0000000;   0.0472590,   0.0000000;  -0.0530352,   0.0000000;   0.0472362,   0.0000000;  -0.0527170,   0.0000000;   0.0472122,   0.0000000;  -0.0524195,   0.0000000
  7  0:   0.0000000,   0.0000000;   0.0000000,   0.0000000;   0.0000001,   0.0000000;   0.0000001,   0.0000000;   0.0000000,   0.0000000;   0.0000000,   0.0000000;   0.0000000,   0.0000000;   0.0000000,   0.0000000;   0.0000000,   0.0000000;   0.0000000,   0.0000000;   0.0000000,   0.0000000;   0.0000000,   0.0000000;   0.0000000,   0.0000000;  -0.0000000,   0.0000000;   0.0000000,   0.0000000;  -0.0000000,   0.0000000;   0.0000000,   0.0000000;  -0.0000000,   0.0000000;   0.0000000,   0.0000000;  -0.0000000,   0.0000000;   0.0000000,   0.0000000;  -0.0000000,   0.0000000;   0.0000000,   0.0000000;  -0.0000000,   0.0000000;   0.0000000,   0.0000000;  -0.0000000,   0.0000000;   0.0000000,   0.0000000;  -0.0000000,   0.0000000;   0.0000000,   0.0000000;  -0.0000000,   0.0000000;   0.0000000,   0.0000000;  -0.0000000,   0.0000000;   0.0000000,   0.0000000;  -0.0000000,   0.0000000;   0.0000000,   0.0000000;  -0.0000000,   0.0000000;   0.0000000,   0.0000000;  -0.0000000,   0.0000000;   0.0000000,   0.0000000;  -0.0000000,   0.0000000;   0.0000000,   0.0000000;  -0.0000000,   0.0000000;   0.0000000,   0.0000000;  -0.0000000,   0.0000000;   0.0000000,   0.0000000;  -0.0000000,   0.0000000;   0.0000000,   0.0000000;  -0.0000000,   0.0000000;   0.0000000,   0.0000000;  -0.0000000,   0.0000000;   0.0000000,   0.0000000;  -0.0000000,   0.0000000;   0.0000000,   0.0000000;  -0.0000000,   0.0000000;   0.0000000,   0.0000000;  -0.0000000,   0.0000000;   0.0000000,   0.0000000;  -0.0000000,   0.0000000;   0.0000000,   0.0000000;  -0.0000000,   0.0000000;   0.0000000,   0.0000000;  -0.0000000,   0.0000000;   0.0000000,   0.0000000;  -0.0000000,   0.0000000;   0.0000000,   0.0000000;  -0.0000000,   0.0000000;   0.0000000,   0.0000000;  -0.0000000,   0.0000000;   0.0000000,   0.0000000;   0.0000000,   0.0000000;   0.0000000,   0.0000000;   0.0000000,   0.0000000;   0.0000000,   0.0000000;   0.0000000,   0.0000000;   0.0000000,   0.0000000;   0.0000000,   0.0000000;   0.0000000,   0.0000000;   0.0000000,   0.0000000;  -0.0000000,   0.0000000;   0.0000000,   0.0000000
  1  1:   0.0000000,   0.0000000;   0.0000000,   0.0000000;   0.0000000,   0.0000000;   0.0000000,   0.0000000;   0.0000000,   0.0000000;   0.0000000,   0.0000000;   0.0000000,   0.0000000;   0.0000000,   0.0000000;   0.0000000,   0.0000000;   0.0000000,   0.0000000;   0.0000000,   0.0000000;   0.0000000,   0.0000000;   0.0000000,   0.0000000;   0.0000000,   0.0000000;   0.0000000,   0.0000000;   0.0000000,   0.0000000;   0.0000000,   0.0000000;   0.0000000,   0.0000000;   0.0000000,   0.0000000;   0.0000000,   0.0000000;   0.0000000,   0.0000000;   0.0000000,   0.0000000;   0.0000000,   0.0000000;   0.0000000,   0.0000000;   0.0000000,   0.0000000;   0.0000000,   0.0000000;   0.0000000,   0.0000000;   0.0000000,   0.0000000;   0.0000000,   0.0000000;   0.0000000,   0.0000000;   0.0000000,   0.0000000;   0.0000000,   0.0000000;   0.0000000,   0.0000000;   0.0000000,   0.0000000;   0.0000000,   0.0000000;   0.0000000,   0.0000000;   0.0000000,   0.0000000;   0.0000000,   0.0000000;   0.0000000,   0.0000000;   0.0000000,   0.0000000;   0.0000000,   0.0000000;   0.0000000,   0.0000000;   0.0000000,   0.0000000;   0.0000000,   0.0000000;   0.0000000,   0.0000000;   0.0000000,   0.0000000;   0.0000000,   0.0000000;   0.0000000,   0.0000000;   0.0000000,   0.0000000;   0.0000000,   0.0000000;   0.0000000,   0.0000000;   0.0000000,   0.0000000;   0.0000000,   0.0000000;   0.0000000,   0.0000000;   0.0000000,   0.0000000;   0.0000000,   0.0000000;   0.0000000,   0.0000000;   0.0000000,   0.0000000;   0.0000000,   0.0000000;   0.0000000,   0.0000000;   0.0000000,   0.0000000;   0.0000000,   0.0000000;   0.0000000,   0.0000000;   0.0000000,   0.0000000;   0.0000000,   0.0000000;   0.0000000,   0.0000000;   0.0000000,   0.0000000;   0.0000000,   0.0000000;   0.0000000,   0.0000000;   0.0000000,   0.0000000;   0.0000000,   0.0000000;   0.0000000,   0.0000000;   0.0000000,   0.0000000;   0.0000000,   0.0000000;   0.0000000,   0.0000000;   0.0000000,   0.0000000;   0.0000000,   0.0000000;   0.0000000,   0.0000000;   0.0000000,   0.0000000;   0.0000000,   0.0000000
  2  1:   0.0000000,   0.0000000;   0.0000000,   0.0000000;   0.0000000,   0.0000000;   0.0000000,   0.0000000;   0.0000000,   0.0000000;   0.0000000,   0.0000000;   0.0000000,   0.0000000;   0.0000000,   0.0000000;   0.0000000,   0.0000000;   0.0000000,   0.0000000;   0.0000000,   0.0000000;   0.0000000,   0.0000000;   0.0000000,   0.0000000;   0.0000000,   0.0000000;   0.0000000,   0.0000000;   0.0000000,   0.0000000;   0.0000000,   0.0000000;   0.0000000,   0.0000000;   0.0000000,   0.0000000;   0.0000000,   0.0000000;   0.0000000,   0.0000000;   0.0000000,   0.0000000;   0.0000000,   0.0000000;   0.0000000,   0.0000000;   0.0000000,   0.0000000;   0.0000000,   0.0000000;   0.0000000,   0.0000000;   0.0000000,   0.0000000;   0.0000000,   0.0000000;   0.0000000,   0.0000000;   0.0000000,   0.0000000;   0.0000000,   0.0000000;   0.0000000,   0.0000000;   0.0000000,   0.0000000;   0.0000000,   0.0000000;   0.0000000,   0.0000000;   0.0000000,   0.0000000;   0.0000000,   0.0000000;   0.0000000,   0.0000000;   0.0000000,   0.0000000;   0.0000000,   0.0000000;   0.0000000,   0.0000000;   0.0000000,   0.0000000;   0.0000000,   0.0000000;   0.0000000,   0.0000000;   0.0000000,   0.0000000;   0.0000000,   0.0000000;   0.0000000,   0.0000000;   0.0000000,   0.0000000;   0.0000000,   0.0000000;   0.0000000,   0.0000000;   0.0000000,   0.0000000;   0.0000000,   0.0000000;   0.0000000,   0.0000000;   0.0000000,   0.0000000;   0.0000000,   0.0000000;   0.0000000,   0.0000000;   0.0000000,   0.0000000;   0.0000000,   0.0000000;   0.0000000,   0.0000000;   0.0000000,   0.0000000;   0.0000000,   0.0000000;   0.0000000,   0.0000000;   0.0000000,   0.0000000;   0.0000000,   0.0000000;   0.0000000,   0.0000000;   0.0000000,   0.0000000;   0.0000000,   0.0000000;   0.0000000,   0.0000000;   0.0000000,   0.0000000;   0.0000000,   0.0000000;   0.0000000,   0.0000000;   0.0000000,   0.0000000;   0.0000000,   0.0000000;   0.0000000,   0.0000000;   0.0000000,   0.0000000;   0.0000000,   0.0000000;   0.0000000,   0.0000000;   0.0000000,   0.0000000;   0.0000000,   0.0000000
